,T_int,logg,lam,f_nu
0,90.0,2.0,0.85655,3.0488114285714288e-05
1,90.0,2.0,0.857554,3.438129523809524e-05
2,90.0,2.0,0.85856,3.186050476190477e-05
3,90.0,2.0,0.859566,2.775686666666667e-05
4,90.0,2.0,0.860574,3.752443492063492e-05
5,90.0,2.0,0.861583,6.125085396825396e-05
6,90.0,2.0,0.862594,7.236199682539682e-05
7,90.0,2.0,0.863605,7.488361587301587e-05
8,90.0,2.0,0.864618,8.747210158730159e-05
9,90.0,2.0,0.865631,0.00010900501587301588
10,90.0,2.0,0.866646,0.00011336238095238094
11,90.0,2.0,0.867662,9.081483492063492e-05
12,90.0,2.0,0.86868,6.092771111111111e-05
13,90.0,2.0,0.869698,4.09759873015873e-05
14,90.0,2.0,0.870718,4.341060634920635e-05
15,90.0,2.0,0.871739,4.201547619047619e-05
16,90.0,2.0,0.872761,3.255853015873016e-05
17,90.0,2.0,0.873784,1.3415860317460317e-05
18,90.0,2.0,0.874809,6.944837142857143e-06
19,90.0,2.0,0.875835,1.5096479365079365e-05
20,90.0,2.0,0.876862,1.5152914285714285e-05
21,90.0,2.0,0.87789,1.1502688888888889e-05
22,90.0,2.0,0.878919,2.7266168253968254e-06
23,90.0,2.0,0.87995,9.378692063492064e-06
24,90.0,2.0,0.880981,2.208824126984127e-05
25,90.0,2.0,0.882014,2.5814971428571427e-05
26,90.0,2.0,0.883048,2.009267301587302e-05
27,90.0,2.0,0.884084,1.5515736507936507e-05
28,90.0,2.0,0.88512,1.9704257142857144e-05
29,90.0,2.0,0.886158,2.7376368253968254e-05
30,90.0,2.0,0.887197,2.4922231746031747e-05
31,90.0,2.0,0.888237,1.8734276190476187e-05
32,90.0,2.0,0.889279,1.0857139682539684e-05
33,90.0,2.0,0.890322,1.3980025396825397e-05
34,90.0,2.0,0.891366,1.1676873015873016e-05
35,90.0,2.0,0.892411,1.033164126984127e-05
36,90.0,2.0,0.893457,4.4262101587301595e-07
37,90.0,2.0,0.894505,3.8088231746031746e-07
38,90.0,2.0,0.895553,2.794734603174603e-07
39,90.0,2.0,0.896603,4.6872930158730156e-07
40,90.0,2.0,0.897655,4.450404444444444e-07
41,90.0,2.0,0.898707,3.1595546031746035e-07
42,90.0,2.0,0.899761,1.4094552380952383e-07
43,90.0,2.0,0.900816,2.4176057142857143e-07
44,90.0,2.0,0.901872,1.0169333333333331e-06
45,90.0,2.0,0.90293,9.262692063492062e-06
46,90.0,2.0,0.903988,1.4450653968253969e-05
47,90.0,2.0,0.905048,1.5603104761904765e-05
48,90.0,2.0,0.906109,9.458971428571428e-06
49,90.0,2.0,0.907172,1.6556053968253967e-05
50,90.0,2.0,0.908236,4.1197031746031746e-05
51,90.0,2.0,0.9093,7.186411746031745e-05
52,90.0,2.0,0.910367,9.540263492063493e-05
53,90.0,2.0,0.911434,9.86055238095238e-05
54,90.0,2.0,0.912503,0.00011185161904761904
55,90.0,2.0,0.913573,8.69160380952381e-05
56,90.0,2.0,0.914644,8.625097142857144e-05
57,90.0,2.0,0.915716,9.596146031746032e-05
58,90.0,2.0,0.91679,0.00013917606349206352
59,90.0,2.0,0.917865,0.00013145285714285715
60,90.0,2.0,0.918941,0.00012199149206349208
61,90.0,2.0,0.920018,0.00010484742857142857
62,90.0,2.0,0.921097,0.00012207526984126985
63,90.0,2.0,0.922177,0.00010975993650793651
64,90.0,2.0,0.923258,9.92508888888889e-05
65,90.0,2.0,0.924341,8.310506984126985e-05
66,90.0,2.0,0.925425,6.50364126984127e-05
67,90.0,2.0,0.92651,5.666139682539682e-05
68,90.0,2.0,0.927596,3.641249206349206e-05
69,90.0,2.0,0.928684,4.0668311111111114e-05
70,90.0,2.0,0.929773,5.078553650793651e-05
71,90.0,2.0,0.930863,6.054601587301587e-05
72,90.0,2.0,0.931954,6.827502222222221e-05
73,90.0,2.0,0.933047,8.814913650793652e-05
74,90.0,2.0,0.934141,0.0001166886349206349
75,90.0,2.0,0.935236,0.00010504720634920636
76,90.0,2.0,0.936333,8.139103174603175e-05
77,90.0,2.0,0.937431,8.501879365079365e-05
78,90.0,2.0,0.93853,0.00011488419047619048
79,90.0,2.0,0.93963,0.00012803914285714288
80,90.0,2.0,0.940732,0.00011845073015873017
81,90.0,2.0,0.941835,0.00010386234920634921
82,90.0,2.0,0.942939,0.00010787263492063492
83,90.0,2.0,0.944045,0.00011941463492063491
84,90.0,2.0,0.945152,0.00013823885714285715
85,90.0,2.0,0.94626,0.000153004
86,90.0,2.0,0.94737,0.00015006349206349206
87,90.0,2.0,0.94848,0.00014741298412698412
88,90.0,2.0,0.949592,0.00014497146031746032
89,90.0,2.0,0.950706,0.00015356466666666666
90,90.0,2.0,0.951821,0.0001555909841269841
91,90.0,2.0,0.952937,0.00015459485714285716
92,90.0,2.0,0.954054,0.00015683015873015874
93,90.0,2.0,0.955173,0.00016126393650793653
94,90.0,2.0,0.956293,0.00017349180952380951
95,90.0,2.0,0.957414,0.0001727506984126984
96,90.0,2.0,0.958536,0.00014839622222222223
97,90.0,2.0,0.95966,0.00011269307936507937
98,90.0,2.0,0.960785,0.00010680285714285714
99,90.0,2.0,0.961912,9.851161904761904e-05
100,90.0,2.0,0.96304,7.493314603174603e-05
101,90.0,2.0,0.964169,5.61972126984127e-05
102,90.0,2.0,0.9653,5.493032698412699e-05
103,90.0,2.0,0.966431,6.116854920634922e-05
104,90.0,2.0,0.967564,4.987456825396826e-05
105,90.0,2.0,0.968699,4.427664761904762e-05
106,90.0,2.0,0.969835,3.920266031746032e-05
107,90.0,2.0,0.970972,5.2150838095238094e-05
108,90.0,2.0,0.97211,5.1832298412698416e-05
109,90.0,2.0,0.97325,5.324482857142857e-05
110,90.0,2.0,0.974391,3.7734247619047616e-05
111,90.0,2.0,0.975534,3.7750358730158733e-05
112,90.0,2.0,0.976678,2.974028253968254e-05
113,90.0,2.0,0.977823,2.74804e-05
114,90.0,2.0,0.978969,2.6395431746031745e-05
115,90.0,2.0,0.980117,3.2750758730158735e-05
116,90.0,2.0,0.981266,2.1601869841269843e-05
117,90.0,2.0,0.982417,8.660265396825397e-06
118,90.0,2.0,0.983569,1.9411219047619046e-06
119,90.0,2.0,0.984722,7.418144761904763e-07
120,90.0,2.0,0.985877,4.6615060317460313e-07
121,90.0,2.0,0.987033,4.058269206349206e-07
122,90.0,2.0,0.98819,5.003936190476191e-07
123,90.0,2.0,0.989349,1.2764603174603174e-06
124,90.0,2.0,0.990509,1.9473914285714288e-06
125,90.0,2.0,0.99167,2.035266031746032e-06
126,90.0,2.0,0.992833,3.493837142857143e-06
127,90.0,2.0,0.993997,3.005523174603175e-06
128,90.0,2.0,0.995162,2.7356206349206352e-06
129,90.0,2.0,0.996329,6.172599365079366e-07
130,90.0,2.0,0.997497,1.353673968253968e-06
131,90.0,2.0,0.998667,4.520427936507937e-06
132,90.0,2.0,0.999838,7.844030476190476e-06
133,90.0,2.0,1.00101,1.0780174603174604e-05
134,90.0,2.0,1.00218,9.496257142857143e-06
135,90.0,2.0,1.00336,8.87352126984127e-06
136,90.0,2.0,1.00454,7.347495238095238e-06
137,90.0,2.0,1.00571,5.764546349206349e-06
138,90.0,2.0,1.00689,3.051435238095238e-06
139,90.0,2.0,1.00807,1.1260009523809524e-06
140,90.0,2.0,1.00925,1.136560634920635e-06
141,90.0,2.0,1.01044,1.0502603174603174e-06
142,90.0,2.0,1.01162,6.061966666666667e-07
143,90.0,2.0,1.01281,2.2043682539682538e-07
144,90.0,2.0,1.014,1.796048253968254e-07
145,90.0,2.0,1.01519,1.9516723809523811e-07
146,90.0,2.0,1.01638,1.1943857142857142e-06
147,90.0,2.0,1.01757,1.262126031746032e-06
148,90.0,2.0,1.01876,1.280013968253968e-06
149,90.0,2.0,1.01996,3.558088253968254e-07
150,90.0,2.0,1.02115,3.9996707936507935e-07
151,90.0,2.0,1.02235,4.850006031746031e-07
152,90.0,2.0,1.02355,4.66019873015873e-07
153,90.0,2.0,1.02475,4.532838095238095e-07
154,90.0,2.0,1.02595,4.22444380952381e-07
155,90.0,2.0,1.02715,4.3822314285714285e-07
156,90.0,2.0,1.02836,3.8363777777777773e-07
157,90.0,2.0,1.02956,3.3047479365079367e-07
158,90.0,2.0,1.03077,3.2387292063492066e-07
159,90.0,2.0,1.03198,5.835122222222222e-07
160,90.0,2.0,1.03319,2.19741746031746e-06
161,90.0,2.0,1.0344,3.820828253968254e-06
162,90.0,2.0,1.03561,3.5188323809523808e-06
163,90.0,2.0,1.03683,1.8272117460317458e-06
164,90.0,2.0,1.03804,2.412045079365079e-07
165,90.0,2.0,1.03926,7.570390158730159e-07
166,90.0,2.0,1.04048,7.866042857142857e-07
167,90.0,2.0,1.0417,6.934120952380952e-07
