,T_int,logg,lam,f_nu
0,90.0,2.4,0.749481,-0.979214
1,90.0,2.4,0.75038,-0.965333
2,90.0,2.4,0.75128,-0.923604
3,90.0,2.4,0.752181,-0.848323
4,90.0,2.4,0.753083,-0.747805
5,90.0,2.4,0.753986,-0.600917
6,90.0,2.4,0.75489,-0.471307
7,90.0,2.4,0.755796,-0.363497
8,90.0,2.4,0.756702,-0.275282
9,90.0,2.4,0.75761,-0.183412
10,90.0,2.4,0.758518,-0.154217
11,90.0,2.4,0.759428,-0.201582
12,90.0,2.4,0.760338,-0.177959
13,90.0,2.4,0.76125,-0.107297
14,90.0,2.4,0.762163,-0.00892833
15,90.0,2.4,0.763077,-0.0299215
16,90.0,2.4,0.763992,-0.0606153
17,90.0,2.4,0.764909,-0.0586173
18,90.0,2.4,0.765826,-0.0479523
19,90.0,2.4,0.766744,-0.0786684
20,90.0,2.4,0.767664,-0.142005
21,90.0,2.4,0.768584,-0.146031
22,90.0,2.4,0.769506,-0.0971727
23,90.0,2.4,0.770429,-0.0554412
24,90.0,2.4,0.771353,-0.0620069
25,90.0,2.4,0.772278,-0.0934649
26,90.0,2.4,0.773204,-0.108432
27,90.0,2.4,0.774131,-0.0876081
28,90.0,2.4,0.77506,-0.040712
29,90.0,2.4,0.775989,-0.0217164
30,90.0,2.4,0.77692,-0.0492397
31,90.0,2.4,0.777852,-0.0552944
32,90.0,2.4,0.778784,-0.0359847
33,90.0,2.4,0.779718,-0.00942419
34,90.0,2.4,0.780654,-0.00173246
35,90.0,2.4,0.78159,-0.000699577
36,90.0,2.4,0.782527,0.000343878
37,90.0,2.4,0.783465,0.000339727
38,90.0,2.4,0.784405,0.000352396
39,90.0,2.4,0.785346,0.000276318
40,90.0,2.4,0.786288,0.000101275
41,90.0,2.4,0.787231,2.53325e-05
42,90.0,2.4,0.788175,1.46833e-05
43,90.0,2.4,0.78912,3.44172e-05
44,90.0,2.4,0.790066,3.79204e-05
45,90.0,2.4,0.791014,3.91372e-05
46,90.0,2.4,0.791962,2.78864e-05
47,90.0,2.4,0.792912,8.57596e-05
48,90.0,2.4,0.793863,0.000216589
49,90.0,2.4,0.794815,0.000211326
50,90.0,2.4,0.795768,0.000237784
51,90.0,2.4,0.796723,0.000274199
52,90.0,2.4,0.797678,0.000420837
53,90.0,2.4,0.798635,0.000554
54,90.0,2.4,0.799592,-0.000466595
55,90.0,2.4,0.800551,-0.00165418
56,90.0,2.4,0.801511,-0.0016586
57,90.0,2.4,0.802473,-0.00683523
