,T_int,logg,lam,f_nu
0,90.0,2.4,0.749481,8.93857e-05
1,90.0,2.4,0.75038,9.43111e-05
2,90.0,2.4,0.75128,9.87211e-05
3,90.0,2.4,0.752181,9.57626e-05
4,90.0,2.4,0.753083,8.5228e-05
5,90.0,2.4,0.753986,7.25354e-05
6,90.0,2.4,0.75489,6.22794e-05
7,90.0,2.4,0.755796,5.37613e-05
8,90.0,2.4,0.756702,4.55974e-05
9,90.0,2.4,0.75761,3.7767e-05
10,90.0,2.4,0.758518,3.3908e-05
11,90.0,2.4,0.759428,3.50558e-05
12,90.0,2.4,0.760338,3.15433e-05
13,90.0,2.4,0.76125,2.73539e-05
14,90.0,2.4,0.762163,2.10867e-05
15,90.0,2.4,0.763077,2.41745e-05
16,90.0,2.4,0.763992,2.62171e-05
17,90.0,2.4,0.764909,2.52735e-05
18,90.0,2.4,0.765826,2.48063e-05
19,90.0,2.4,0.766744,2.67639e-05
20,90.0,2.4,0.767664,3.16637e-05
21,90.0,2.4,0.768584,3.17205e-05
22,90.0,2.4,0.769506,2.88419e-05
23,90.0,2.4,0.770429,2.63114e-05
24,90.0,2.4,0.771353,2.62761e-05
25,90.0,2.4,0.772278,2.85582e-05
26,90.0,2.4,0.773204,2.94895e-05
27,90.0,2.4,0.774131,2.54537e-05
28,90.0,2.4,0.77506,2.00782e-05
29,90.0,2.4,0.775989,1.88909e-05
30,90.0,2.4,0.77692,2.35149e-05
31,90.0,2.4,0.777852,2.49092e-05
32,90.0,2.4,0.778784,2.16756e-05
33,90.0,2.4,0.779718,1.77429e-05
34,90.0,2.4,0.780654,1.49182e-05
35,90.0,2.4,0.78159,1.22623e-05
36,90.0,2.4,0.782527,1.00275e-05
37,90.0,2.4,0.783465,9.37621e-06
38,90.0,2.4,0.784405,9.48401e-06
39,90.0,2.4,0.785346,8.10537e-06
40,90.0,2.4,0.786288,5.47168e-06
41,90.0,2.4,0.787231,3.4832e-06
42,90.0,2.4,0.788175,2.71867e-06
43,90.0,2.4,0.78912,4.12228e-06
44,90.0,2.4,0.790066,4.7531e-06
45,90.0,2.4,0.791014,5.03453e-06
46,90.0,2.4,0.791962,4.4206e-06
47,90.0,2.4,0.792912,6.00028e-06
48,90.0,2.4,0.793863,8.16695e-06
49,90.0,2.4,0.794815,7.78046e-06
50,90.0,2.4,0.795768,7.4764e-06
51,90.0,2.4,0.796723,7.50885e-06
52,90.0,2.4,0.797678,9.26597e-06
53,90.0,2.4,0.798635,9.89575e-06
54,90.0,2.4,0.799592,1.10201e-05
55,90.0,2.4,0.800551,1.25117e-05
56,90.0,2.4,0.801511,1.25974e-05
57,90.0,2.4,0.802473,1.36122e-05
58,90.0,2.4,0.803435,1.43969e-05
59,90.0,2.4,0.804398,1.63539e-05
60,90.0,2.4,0.805363,1.74198e-05
61,90.0,2.4,0.806329,1.95154e-05
62,90.0,2.4,0.807296,2.11631e-05
63,90.0,2.4,0.808264,2.11657e-05
64,90.0,2.4,0.809233,2.11223e-05
65,90.0,2.4,0.810204,2.21005e-05
66,90.0,2.4,0.811176,2.29361e-05
67,90.0,2.4,0.812148,2.31634e-05
68,90.0,2.4,0.813122,2.32692e-05
69,90.0,2.4,0.814097,2.45994e-05
70,90.0,2.4,0.815074,2.53595e-05
71,90.0,2.4,0.816051,2.33557e-05
72,90.0,2.4,0.81703,2.57951e-05
73,90.0,2.4,0.81801,2.84771e-05
74,90.0,2.4,0.818991,3.21326e-05
75,90.0,2.4,0.819973,3.22507e-05
76,90.0,2.4,0.820956,3.44383e-05
77,90.0,2.4,0.821941,3.9542e-05
78,90.0,2.4,0.822926,4.41747e-05
79,90.0,2.4,0.823913,4.75318e-05
80,90.0,2.4,0.824901,4.71845e-05
81,90.0,2.4,0.825891,4.45323e-05
82,90.0,2.4,0.826881,4.25799e-05
83,90.0,2.4,0.827873,4.42154e-05
84,90.0,2.4,0.828866,4.74897e-05
85,90.0,2.4,0.82986,4.95872e-05
86,90.0,2.4,0.830855,4.99046e-05
87,90.0,2.4,0.831851,4.94113e-05
88,90.0,2.4,0.832849,4.22802e-05
89,90.0,2.4,0.833848,3.37786e-05
90,90.0,2.4,0.834848,2.56247e-05
91,90.0,2.4,0.835849,2.24705e-05
92,90.0,2.4,0.836851,1.93394e-05
93,90.0,2.4,0.837855,1.57028e-05
94,90.0,2.4,0.83886,1.13622e-05
95,90.0,2.4,0.839866,1.15411e-05
96,90.0,2.4,0.840873,1.1856e-05
97,90.0,2.4,0.841881,1.22566e-05
98,90.0,2.4,0.842891,9.28384e-06
99,90.0,2.4,0.843902,7.71757e-06
100,90.0,2.4,0.844914,9.16291e-06
101,90.0,2.4,0.845927,1.18936e-05
102,90.0,2.4,0.846942,1.13726e-05
103,90.0,2.4,0.847957,9.64024e-06
104,90.0,2.4,0.848974,7.86206e-06
105,90.0,2.4,0.849992,8.6299e-06
106,90.0,2.4,0.851012,9.38875e-06
107,90.0,2.4,0.852032,9.70817e-06
108,90.0,2.4,0.853054,1.03569e-05
109,90.0,2.4,0.854077,8.56558e-06
110,90.0,2.4,0.855101,6.2137e-06
111,90.0,2.4,0.856127,4.0645e-06
112,90.0,2.4,0.857153,4.90225e-06
113,90.0,2.4,0.858181,5.22751e-06
114,90.0,2.4,0.859211,4.75438e-06
115,90.0,2.4,0.860241,5.13048e-06
116,90.0,2.4,0.861273,6.93742e-06
117,90.0,2.4,0.862306,8.18107e-06
118,90.0,2.4,0.86334,8.50447e-06
119,90.0,2.4,0.864375,8.85884e-06
120,90.0,2.4,0.865412,1.01839e-05
121,90.0,2.4,0.866449,1.05098e-05
122,90.0,2.4,0.867489,8.95067e-06
123,90.0,2.4,0.868529,6.74648e-06
124,90.0,2.4,0.86957,5.06002e-06
125,90.0,2.4,0.870613,5.13297e-06
126,90.0,2.4,0.871657,5.0043e-06
127,90.0,2.4,0.872703,4.21811e-06
128,90.0,2.4,0.873749,2.62808e-06
129,90.0,2.4,0.874797,2.10417e-06
130,90.0,2.4,0.875846,2.73829e-06
131,90.0,2.4,0.876897,2.77405e-06
132,90.0,2.4,0.877948,2.33966e-06
133,90.0,2.4,0.879001,1.50939e-06
134,90.0,2.4,0.880055,2.33364e-06
135,90.0,2.4,0.881111,3.21221e-06
136,90.0,2.4,0.882167,3.66157e-06
137,90.0,2.4,0.883225,3.07243e-06
138,90.0,2.4,0.884284,2.87251e-06
139,90.0,2.4,0.885345,3.15788e-06
140,90.0,2.4,0.886407,3.5946e-06
141,90.0,2.4,0.88747,3.31026e-06
142,90.0,2.4,0.888534,2.70577e-06
143,90.0,2.4,0.8896,2.29836e-06
144,90.0,2.4,0.890666,1.94232e-06
145,90.0,2.4,0.891735,1.50384e-06
146,90.0,2.4,0.892804,9.36174e-07
147,90.0,2.4,0.893875,3.64171e-07
148,90.0,2.4,0.894947,3.33063e-07
149,90.0,2.4,0.89602,3.99293e-07
150,90.0,2.4,0.897094,4.34037e-07
151,90.0,2.4,0.89817,3.68701e-07
152,90.0,2.4,0.899247,1.57955e-07
153,90.0,2.4,0.900326,1.80075e-07
154,90.0,2.4,0.901406,3.77907e-07
155,90.0,2.4,0.902487,1.29428e-06
156,90.0,2.4,0.903569,2.17848e-06
157,90.0,2.4,0.904653,2.64921e-06
158,90.0,2.4,0.905737,2.21215e-06
159,90.0,2.4,0.906824,2.09894e-06
160,90.0,2.4,0.907911,2.97903e-06
161,90.0,2.4,0.909,4.28274e-06
162,90.0,2.4,0.91009,5.66277e-06
163,90.0,2.4,0.911182,6.28016e-06
164,90.0,2.4,0.912274,7.65314e-06
165,90.0,2.4,0.913368,7.11837e-06
166,90.0,2.4,0.914464,6.80432e-06
167,90.0,2.4,0.91556,7.95711e-06
168,90.0,2.4,0.916658,1.09884e-05
169,90.0,2.4,0.917758,1.11614e-05
170,90.0,2.4,0.918858,1.00281e-05
171,90.0,2.4,0.91996,8.43822e-06
172,90.0,2.4,0.921063,9.068e-06
173,90.0,2.4,0.922168,8.04818e-06
174,90.0,2.4,0.923274,6.7591e-06
175,90.0,2.4,0.924381,5.65783e-06
176,90.0,2.4,0.92549,4.81505e-06
177,90.0,2.4,0.9266,4.44414e-06
178,90.0,2.4,0.927711,3.30993e-06
179,90.0,2.4,0.928823,3.86082e-06
180,90.0,2.4,0.929937,3.99271e-06
181,90.0,2.4,0.931053,4.81658e-06
182,90.0,2.4,0.932169,4.97883e-06
183,90.0,2.4,0.933287,6.29668e-06
184,90.0,2.4,0.934406,7.19502e-06
185,90.0,2.4,0.935527,6.07273e-06
186,90.0,2.4,0.936649,5.21485e-06
187,90.0,2.4,0.937772,6.30602e-06
188,90.0,2.4,0.938897,8.52672e-06
189,90.0,2.4,0.940023,9.09897e-06
190,90.0,2.4,0.94115,8.3463e-06
191,90.0,2.4,0.942279,7.8483e-06
192,90.0,2.4,0.943409,8.88507e-06
193,90.0,2.4,0.94454,9.66269e-06
194,90.0,2.4,0.945673,1.10879e-05
195,90.0,2.4,0.946807,1.15893e-05
196,90.0,2.4,0.947942,1.20317e-05
197,90.0,2.4,0.949079,1.17932e-05
198,90.0,2.4,0.950217,1.21914e-05
199,90.0,2.4,0.951357,1.28468e-05
200,90.0,2.4,0.952498,1.37414e-05
201,90.0,2.4,0.95364,1.43761e-05
202,90.0,2.4,0.954784,1.47479e-05
203,90.0,2.4,0.955929,1.57121e-05
204,90.0,2.4,0.957075,1.58979e-05
205,90.0,2.4,0.958223,1.38896e-05
206,90.0,2.4,0.959372,1.00084e-05
207,90.0,2.4,0.960523,8.88084e-06
208,90.0,2.4,0.961675,8.10856e-06
209,90.0,2.4,0.962828,7.20187e-06
210,90.0,2.4,0.963983,4.71022e-06
211,90.0,2.4,0.965139,4.43519e-06
212,90.0,2.4,0.966296,4.51569e-06
213,90.0,2.4,0.967455,3.96555e-06
