,T_int,logg,lam,f_nu,f_lam,F
0,200.0,2.0,0.49965399999999993,3.63106e-31,4.360290163782607e-12,5.254375237651527e-15
1,200.0,2.0,0.500294,3.5160599999999997e-31,4.211399018190585e-12,5.254375237651527e-15
2,200.0,2.0,0.500935,3.43737e-31,4.1066172963036414e-12,5.254375237651527e-15
3,200.0,2.0,0.5015759999999999,3.3918399999999997e-31,4.041872084927976e-12,5.254375237651527e-15
4,200.0,2.0,0.502218,3.14289e-31,3.735642740563728e-12,5.254375237651527e-15
5,200.0,2.0,0.5028609999999999,2.4868600000000003e-31,2.948330264739321e-12,5.254375237651527e-15
6,200.0,2.0,0.5035049999999999,2.10624e-31,2.490697494948531e-12,5.254375237651527e-15
7,200.0,2.0,0.50415,2.30497e-31,2.7187322390331427e-12,5.254375237651527e-15
8,200.0,2.0,0.504795,2.76401e-31,3.2518478983826375e-12,5.254375237651527e-15
9,200.0,2.0,0.505442,2.93147e-31,3.440040082735163e-12,5.254375237651527e-15
10,200.0,2.0,0.506089,2.9336e-31,3.4337431346118222e-12,5.254375237651527e-15
11,200.0,2.0,0.506737,2.79352e-31,3.261423949302954e-12,5.254375237651527e-15
12,200.0,2.0,0.507386,2.52008e-31,2.9346618812164334e-12,5.254375237651527e-15
13,200.0,2.0,0.508036,2.11303e-31,2.454355058653165e-12,5.254375237651527e-15
14,200.0,2.0,0.508686,2.2449100000000003e-31,2.600878514717593e-12,5.254375237651527e-15
15,200.0,2.0,0.5093369999999999,2.5774300000000002e-31,2.9784967473219818e-12,5.254375237651527e-15
16,200.0,2.0,0.50999,3.04206e-31,3.50642987319317e-12,5.254375237651527e-15
17,200.0,2.0,0.510643,3.17247e-31,3.647400565483529e-12,5.254375237651527e-15
18,200.0,2.0,0.5112969999999999,3.24392e-31,3.720012071310857e-12,5.254375237651527e-15
19,200.0,2.0,0.511951,3.2687200000000003e-31,3.738880906772939e-12,5.254375237651527e-15
20,200.0,2.0,0.512607,3.3840400000000003e-31,3.860887310129809e-12,5.254375237651527e-15
21,200.0,2.0,0.5132629999999999,3.46018e-31,3.937671464211524e-12,5.254375237651527e-15
22,200.0,2.0,0.5139199999999999,3.49307e-31,3.964943045339343e-12,5.254375237651527e-15
23,200.0,2.0,0.514578,3.5398500000000003e-31,4.00777316397201e-12,5.254375237651527e-15
