# T_int  log_g  S  T_eff
1.00000000e+02 2.80000000e+00 5.56300000e+00 1.00000000e+02
1.00000000e+02 3.00000000e+00 5.47010000e+00 1.00000000e+02
1.00000000e+02 3.20000000e+00 5.39000000e+00 1.00000000e+02
1.00000000e+02 3.40000000e+00 5.25600000e+00 1.00000000e+02
1.00000000e+02 3.60000000e+00 5.17790000e+00 1.00000000e+02
1.00000000e+02 3.80000000e+00 5.08320000e+00 1.00000000e+02
1.00000000e+02 4.00000000e+00 4.96920000e+00 1.00000000e+02
1.00000000e+02 4.20000000e+00 4.89560000e+00 1.00000000e+02
1.00000000e+02 4.40000000e+00 4.79510000e+00 1.00000000e+02
1.50000000e+02 2.80000000e+00 6.12240000e+00 1.50000000e+02
1.50000000e+02 3.00000000e+00 6.05170000e+00 1.50000000e+02
1.50000000e+02 3.20000000e+00 5.96410000e+00 1.50000000e+02
1.50000000e+02 3.40000000e+00 5.87360000e+00 1.50000000e+02
1.50000000e+02 3.60000000e+00 5.77850000e+00 1.50000000e+02
1.50000000e+02 3.80000000e+00 5.73640000e+00 1.50000000e+02
1.50000000e+02 4.00000000e+00 5.58910000e+00 1.50000000e+02
1.50000000e+02 4.20000000e+00 5.49630000e+00 1.50000000e+02
1.50000000e+02 4.40000000e+00 5.40610000e+00 1.50000000e+02
2.00000000e+02 2.80000000e+00 6.64660000e+00 2.00000000e+02
2.00000000e+02 3.00000000e+00 6.58080000e+00 2.00000000e+02
2.00000000e+02 3.20000000e+00 6.48550000e+00 2.00000000e+02
2.00000000e+02 3.40000000e+00 6.33730000e+00 2.00000000e+02
2.00000000e+02 3.60000000e+00 6.24350000e+00 2.00000000e+02
2.00000000e+02 3.80000000e+00 6.09890000e+00 2.00000000e+02
2.00000000e+02 4.00000000e+00 5.99780000e+00 2.00000000e+02
2.00000000e+02 4.20000000e+00 5.98290000e+00 2.00000000e+02
2.00000000e+02 4.40000000e+00 5.88520000e+00 2.00000000e+02
2.50000000e+02 2.80000000e+00 7.25120000e+00 2.50000000e+02
