Gravity	T_eff, 1.0	T_10, 1.0	T_eff, 0.7	T_10, 0.7	T_int	
1.3	652.8	3196.1	652.8	3196.1	650	
	551.5	3020.1	551.4	3020.1	550	
	450.7	2750.7	450.7	2750.6	450	
	350.5	2232.2	350.4	2231.6	350	
	 ... 	 ... 	 ... 	 ... 	275	
	 ... 	 ... 	 ... 	 ... 	225	
	 ... 	 ... 	 ... 	 ... 	175	
	 ... 	 ... 	 ... 	 ... 	131	
	 ... 	 ... 	 ... 	 ... 	104	
	 ... 	 ... 	 ... 	 ... 	87	
	 ... 	 ... 	 ... 	 ... 	78	
	 ... 	 ... 	 ... 	 ... 	69	
3.0	651.3	2993.9	651.3	2993.8	650	
	550.7	2783.9	550.7	2783.9	550	
	450.4	2485.2	450.4	2485.2	450	
	350.3	2000.7	350.3	2000.1	350	
	275.5	1500.1	275.6	1498.8	275	
	226.1	1120.5	225.8	1118.4	225	
	 ... 	 ... 	 ... 	 ... 	175	
	 ... 	 ... 	 ... 	 ... 	131	
	 ... 	 ... 	 ... 	 ... 	104	
	 ... 	 ... 	 ... 	 ... 	87	
	 ... 	 ... 	 ... 	 ... 	78	
	 ... 	 ... 	 ... 	 ... 	69	
5.4	650.7	2831.4	650.7	2831.4	650	
	550.4	2597.4	550.4	2597.4	550	
	450.3	2285.2	450.2	2285.1	450	
	350.4	1844.9	350.3	1844.4	350	
	275.6	1376.2	275.5	1375.0	275	
	226.1	1021.8	225.8	1019.7	225	
	177.2	692.2	176.5	689.2	175	
	135.7	490.5	134.3	484.9	131	
	112.2	380.9	109.9	373.3	104	
	 ... 	 ... 	 ... 	 ... 	87	
	 ... 	 ... 	 ... 	 ... 	78	
	 ... 	 ... 	 ... 	 ... 	69	
7.2	 ... 	 ... 	 ... 	 ... 	650	
	 ... 	 ... 	 ... 	 ... 	550	
	 ... 	 ... 	 ... 	 ... 	450	
	350.4	1769.9	350.3	1769.4	350	
	275.6	1318.1	275.5	1317.0	275	
	226.1	976.6	225.7	974.6	225	
	177.1	661.7	176.6	658.7	175	
	135.7	478.8	134.3	463.4	131	
	112.2	364.8	110.0	356.5	104	
	99.6	311.5	96.0	302.4	87	
	 ... 	 ... 	 ... 	 ... 	78	
	 ... 	 ... 	 ... 	 ... 	69	
8.9	 ... 	 ... 	 ... 	 ... 	650	
	 ... 	 ... 	 ... 	 ... 	550	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	350	
	 ... 	 ... 	 ... 	 ... 	275	
	226.1	944.6	225.8	942.4	225	
	177.2	640.2	176.6	637.9	175	
	135.8	453.6	134.3	448.4	131	
	112.3	353.3	110.0	345.1	104	
	99.5	301.0	96.4	291.7	87	
	93.9	279.2	89.9	268.2	78	
	89.2	261.5	84.1	246.3	69	
10.0	 ... 	 ... 	 ... 	 ... 	650	
	 ... 	 ... 	 ... 	 ... 	550	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	350	
	 ... 	 ... 	 ... 	 ... 	275	
	 ... 	 ... 	 ... 	 ... 	225	
	177.2	628.6	176.6	625.7	175	
	135.8	445.4	134.4	440.0	131	
	112.3	347.5	110.0	339.2	104	
	99.5	296.9	96.1	286.5	87	
	94.0	275.9	90.3	264.2	78	
	89.2	257.0	84.1	242.3	69	
11.2	 ... 	 ... 	 ... 	 ... 	650	
	 ... 	 ... 	 ... 	 ... 	550	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	350	
	 ... 	 ... 	 ... 	 ... 	275	
	 ... 	 ... 	 ... 	 ... 	225	
	177.2	617.4	176.6	614.9	175	
	135.7	437.1	134.4	432.0	131	
	112.4	341.7	110.2	333.3	104	
	99.5	291.6	96.1	282.4	87	
	94.0	270.3	90.1	259.9	78	
	89.2	252.8	84.2	238.3	69	
12.0	 ... 	 ... 	 ... 	 ... 	650	
	 ... 	 ... 	 ... 	 ... 	550	
	 ... 	 ... 	 ... 	 ... 	450	
	 ... 	 ... 	 ... 	 ... 	350	
	 ... 	 ... 	 ... 	 ... 	275	
	 ... 	 ... 	 ... 	 ... 	225	
	 ... 	 ... 	 ... 	 ... 	175	
	135.8	432.3	134.4	427.4	131	
	112.5	338.1	110.2	329.7	104	
	99.6	288.3	96.2	279.2	87	
	94.0	267.3	90.1	257.1	78	
	89.2	250.2	84.2	235.9	69
