Gravity	T_eff, 0.12N	T_10, 0.12N	T_1, 0.12N	T_eff, 1.0N	T_10, 1.0N	T_1, 1.0N	T_eff, 1.0U	T_10, 1.0U	T_1, 1.0U	T_eff, 1.8U	T_10, 1.8U	T_1, 1.8U	T_int	
4.0	32.66	88.64	49.11	48.71	129.32	66.00	59.87	164.80	80.55	69.54	196.07	94.22	27	
	37.37	105.39	56.31	50.38	139.77	70.22	60.80	171.55	83.42	70.14	200.74	96.34	34	
	44.89	134.43	68.06	54.11	160.32	78.67	63.04	186.10	89.75	71.63	211.46	101.29	43	
	55.11	177.20	85.86	60.87	193.49	93.05	67.67	211.78	101.44	74.30	229.80	109.99	54	
	68.46	231.89	111.00	71.96	243.06	116.47	76.39	253.96	121.88	81.78	267.16	128.53	68	
	86.23	301.80	146.36	88.21	309.59	150.42	90.90	315.21	153.36	94.32	321.08	156.43	86	
	109.12	396.53	196.11	109.93	399.17	197.50	111.22	404.77	200.44	113.40	409.02	202.66	109	
	137.31	531.03	265.95	137.48	532.84	266.87	138.41	535.66	268.32	139.49	539.71	270.40	137	
	217.06	1086.00	551.01	217.15	1086.72	551.39	217.22	1087.84	551.98	217.63	1090.67	553.46	217	
5.0	32.63	85.80	47.82	48.59	125.33	64.40	59.69	159.82	78.46	69.34	190.39	91.66	27	
	37.35	101.83	54.82	50.28	135.23	68.38	60.63	166.29	81.18	69.94	194.96	93.71	34	
	44.87	129.67	66.14	54.03	154.67	76.32	62.88	179.89	87.03	71.44	204.83	98.21	43	
	55.09	170.88	83.13	60.81	186.84	90.08	67.53	204.74	98.17	74.25	222.41	106.46	54	
	68.46	224.03	107.23	71.88	234.56	112.30	76.29	245.17	117.51	81.63	258.32	124.06	68	
	86.23	291.63	141.08	88.18	298.61	144.70	91.04	302.92	147.98	94.31	310.17	150.72	86	
	109.12	383.20	189.11	110.26	386.88	191.04	111.22	391.57	193.51	113.02	396.00	195.83	109	
	137.31	512.66	256.50	137.66	514.23	257.31	138.17	517.05	258.75	139.18	520.87	260.72	137	
	217.05	1048.68	531.44	217.13	1048.72	531.48	217.27	1049.94	532.10	217.64	1052.41	533.39	217	
6.3	32.60	83.23	46.61	48.47	121.55	62.88	59.53	154.87	76.40	69.15	184.65	89.11	27	
	37.32	98.37	53.36	50.21	130.57	66.51	60.48	160.84	78.89	69.76	188.84	90.97	34	
	44.85	124.96	64.25	53.95	149.20	74.06	62.74	173.88	84.43	71.26	198.27	95.22	43	
	55.08	164.66	80.49	60.75	180.04	87.10	67.41	197.53	94.88	74.20	215.52	103.18	54	
	68.70	217.54	104.15	71.83	226.18	108.26	76.19	236.65	113.32	81.54	249.39	119.60	68	
	86.39	282.31	136.28	88.14	287.47	138.93	90.73	293.36	141.97	94.31	301.78	146.35	86	
	109.12	369.37	181.83	110.17	373.36	183.93	111.20	377.69	186.21	113.26	383.08	189.04	109	
	137.06	494.06	246.90	137.48	495.74	247.77	138.16	498.64	249.27	139.34	501.67	250.83	137	
	217.02	1010.68	511.62	217.09	1010.97	511.78	217.22	1012.28	512.46	217.60	1014.69	513.71	217	
7.9	32.58	80.44	45.29	48.38	117.50	61.25	59.39	150.10	74.43	68.98	179.06	86.67	27	
	37.31	95.08	51.95	50.16	126.26	64.78	60.34	155.69	76.74	69.59	182.81	88.30	34	
	44.83	120.47	62.44	53.89	143.95	71.92	62.61	168.05	81.93	71.11	192.05	92.40	43	
	55.06	158.62	77.96	60.71	173.66	84.33	67.30	190.77	91.83	74.43	209.41	100.32	54	
	68.68	209.94	100.58	71.77	218.12	104.41	76.11	228.40	109.32	81.44	240.94	115.42	68	
	86.38	272.52	131.26	87.81	277.19	133.65	90.87	282.23	137.19	94.62	290.64	140.56	86	
	109.11	356.83	175.23	109.92	359.09	176.42	111.21	362.70	178.23	113.01	368.99	181.63	109	
	137.09	476.76	237.96	137.59	478.66	238.94	138.34	481.08	240.19	139.35	484.79	242.11	137	
	217.02	974.45	492.82	217.09	975.07	493.14	217.27	975.94	493.59	217.59	978.74	495.04	217	
10.0	32.54	77.98	44.08	48.32	113.63	59.68	59.28	145.16	72.41	68.84	173.51	84.27	27	
	37.28	91.67	50.46	50.05	121.79	62.98	60.22	150.46	74.58	69.44	176.97	85.76	34	
	44.82	116.07	60.67	53.85	138.64	69.76	62.50	162.17	79.44	70.96	185.53	89.50	43	
	55.05	152.70	75.50	60.60	167.19	81.56	67.20	183.96	88.81	74.34	202.37	97.08	54	
	68.66	202.10	96.96	71.72	210.16	100.68	76.06	220.01	105.32	81.38	231.67	110.90	68	
	86.37	262.93	126.39	88.03	267.95	128.93	90.55	272.98	131.49	94.17	279.81	134.99	86	
	109.12	343.60	168.27	110.16	346.52	169.80	111.18	351.48	172.41	113.23	355.11	174.32	109	
	137.10	458.98	228.73	137.62	460.71	229.63	138.16	463.29	230.97	139.31	466.40	232.58	137	
	217.02	938.07	474.00	217.09	938.65	474.30	217.22	939.88	474.93	217.59	942.07	476.06	217	
12.6	32.53	75.61	42.88	48.26	109.92	58.17	59.17	140.49	70.52	68.72	168.23	82.01	27	
	37.27	88.63	49.11	49.98	117.66	61.31	60.13	145.40	72.51	69.31	171.54	83.42	34	
	44.83	111.89	58.97	53.78	133.81	67.81	62.41	156.53	77.09	70.84	179.42	86.83	43	
	55.03	146.97	73.15	60.60	161.00	78.95	67.20	176.78	85.68	74.22	195.32	93.88	54	
	68.45	193.69	93.14	71.70	202.18	97.00	76.04	212.20	101.63	81.23	224.10	107.26	68	
	86.23	252.90	121.35	87.95	257.84	123.82	90.52	263.30	126.57	94.33	271.78	130.88	86	
	109.12	331.47	161.88	110.09	334.51	163.48	111.28	337.63	165.13	113.00	342.70	167.79	109	
	137.06	442.53	220.17	137.48	444.04	220.96	138.30	446.57	222.28	139.29	449.89	224.01	137	
	217.02	902.64	455.74	217.09	903.60	456.24	217.26	904.67	456.79	217.59	906.90	457.93	217	
#Notes. Surface gravities are in m s^-2. A metallicity of [M/H] = +1.5 (~30x solar) is assumed. "0.12N" and "1.0N" mean 0.12 and 1.0 times the current Neptunian incident flux, while "1.0U" and "1.8U" mean 1.0 and 1.8 times the current Uranian incident flux. The temperatures at 1 and 10 bars are provided.
