# Source: French et al. (2012), Table 1, Jupiter model J11-8a (machine-readable subset used by orchard)
# Columns (units):
# R_RJ	rho_g_cm^-3	T_K	P_GPa	c_p_kJ_gK^-1	c_v_kJ_gK^-1	alpha_K^-1	kappa_T_GPa^-1	c_s_km_s^-1	gamma
# Note: the duplicate R=0.629 row from the printed table is omitted so radius is unique for interpolation.
0.0923	4.42	19500	4180	1.33e-2	1.25e-2	4.85e-6	1.25e-4	44.03	0.705	
0.196	3.99	18000	3410	1.36e-2	1.27e-2	5.43e-6	1.53e-4	41.89	0.707	
0.350	3.39	16000	2460	1.36e-2	1.27e-2	6.58e-6	2.13e-4	38.64	0.737	
0.478	2.80	14000	1640	1.36e-2	1.26e-2	7.82e-6	3.10e-4	35.23	0.728	
0.584	2.26	12000	1030	1.37e-2	1.25e-2	1.04e-5	4.79e-4	31.83	0.782	
0.629	2.02	11000	800	    1.37e-2	1.24e-2	1.22e-5	6.07e-4	30.10	0.823											
0.680	1.60	10000	600	    1.49e-2	1.34e-2	1.38e-5	8.08e-4	29.34	0.802	
0.770	1.20	8000	300	    1.49e-2	1.33e-2	1.90e-5	1.52e-3	24.82	0.781	
0.852	0.824	6000	120	    1.45e-2	1.29e-2	2.83e-5	3.64e-3	19.38	0.737	
0.890	0.638	5000	64	    1.47e-2	1.37e-2	3.09e-5	7.09e-3	15.44	0.501	
0.900	0.581	4800	51	    1.57e-2	1.48e-2	3.12e-5	9.11e-3	14.15	0.402	
0.908	0.531	4700	42	    1.73e-2	1.66e-2	2.86e-5	1.15e-2	13.04	0.292	
0.918	0.464	4600	32	    1.93e-2	1.88e-2	2.72e-5	1.60e-2	11.74	0.208	
0.930	0.380	4500	23	    2.06e-2	1.99e-2	3.76e-5	2.47e-2	10.50	0.215	
0.940	0.312	4400	16	    1.87e-2	1.73e-2	5.97e-5	3.57e-2	9.87	0.323	
0.952	0.240	4000	9.6	    1.59e-2	1.34e-2	9.27e-5	5.75e-2	9.28	0.503	
0.964	0.177	3500	5.0	    1.54e-2	1.22e-2	1.36e-4	1.15e-1	7.86	0.526	
0.972	0.132	3000	2.7	    1.40e-2	1.12e-2	1.68e-4	2.31e-1	6.41	0.498	
0.980	0.0848	2500	1.2	    1.34e-2	1.03e-2	2.58e-4	6.23e-1	4.97	0.494	
0.986	0.0497	2000	0.45	1.29e-2	9.55e-3	3.89e-4	1.78    3.90	0.470	
0.994	0.0113	1000	0.0434	1.22e-2	8.50e-3	9.50e-4	21.97	2.40	0.453
