# Source: French et al. (2012), Table 2, Jupiter model J11-8a (machine-readable subset used by orchard)
# Columns (units):
# R_RJ	sigma_S_m^-1	beta_m^2_s^-1	lambda_W_m^-1_K^-1	kappa_m^2_s^-1	eta_mPa_s	nu_mm^2_s^-1	D_H_mm^2_s^-1	D_He_mm^2_s^-1
# Note: the printed eta_prime column is not present in this reduced file.
0.0923	3.39e6	   0.235	1710	2.91e-5	1.16	0.262	0.433	0.256	
0.196	3.05e6	   0.261	1470	2.70e-5	1.06	0.266	0.428	0.272	
0.350	2.48e6	   0.321	1040	2.26e-5	0.955	0.282	0.436	0.251	
0.478	1.97e6	   0.404	721	    1.89e-5	0.830	0.296	0.450	0.254	
0.584	1.48e6	   0.538	465	    1.50e-5	0.666	0.295	0.458	0.247	
0.680	1.09e6	   0.730	283	    1.19e-5	0.500	0.313	0.468	0.229	
0.770	7.20e5	   1.11	    153	    8.56e-6	0.410	0.342	0.481	0.200	
0.852	3.60e5	   2.21	    59.6	4.99e-6	0.297	0.360	0.471	0.179	
0.890	1.46e5	   5.45	    20.2	2.16e-6	0.234	0.367	0.369	0.172	
0.930	 1.5e3	   5.3e-2	2.78	3.55e-7 0.140	0.368	0.274	0.260	
0.952	 6.6e0	   1.2e-5	2.18	5.71e-7	0.090	0.378	0.349	0.330	
0.972	 3.5e-2    2.3e-7	1.74	9.42e-7	0.046	0.348	0.410	0.400	
0.980	 3.5e-4    2.3e-9	1.50	1.32e-6	0.033	0.392	0.437	0.430	
0.986	 10^-7	   8e-12	1.30	2.03e-6	0.023	0.460	0.610	0.550
