# Source: Becker et al. (2018), Thermodynamic Material Properties (KOI-889b, Corot-3b, Gliese-229b)
# Columns (units):
# Object	r_Robj	m_Mobj	P_GPa	T_K	rho_g_cm^-3	alpha_K^-1	kappa_T_GPa^-1	c_v_J_gK^-1	c_p_J_gK^-1	c_s_km_s^-1
KOI-889b    0.996e+00 9.9996e-01 0.253e+01 0.48e+04 0.100e+00 1.33e-04 2.88e-01 1.34e+01 1.63e+01 0.648e+01
KOI-889b    0.994e+00 9.9989e-01 0.747e+01 0.57e+04 0.186e+00 7.93e-05 0.88e-01 1.44e+01 1.67e+01 0.836e+01
KOI-889b    0.992e+00 9.9977e-01 1.558e+01 0.64e+04 0.281e+00 5.83e-05 0.40e-01 1.29e+01 1.48e+01 0.994e+01
KOI-889b    0.990e+00 0.9996e+00 2.717e+01 0.71e+04 0.381e+00 5.09e-05 0.22e-01 1.08e+01 1.30e+01 1.169e+01
KOI-889b    0.986e+00 0.9991e+00 6.073e+01 0.83e+04 0.563e+00 3.79e-05 8.54e-03 1.30e+01 1.57e+01 1.555e+01
KOI-889b    0.984e+00 0.9988e+00 8.205e+01 0.90e+04 0.640e+00 3.31e-05 6.15e-03 1.22e+01 1.50e+01 1.727e+01
KOI-889b    0.980e+00 0.9981e+00 1.329e+02 1.03e+04 0.783e+00 2.53e-05 3.76e-03 1.22e+01 1.47e+01 1.976e+01
KOI-889b    0.978e+00 0.9977e+00 1.621e+02 1.10e+04 0.850e+00 2.26e-05 3.07e-03 1.22e+01 1.46e+01 2.090e+01
KOI-889b    0.972e+00 0.9962e+00 2.647e+02 1.31e+04 0.104e+01 1.77e-05 1.93e-03 1.25e+01 1.47e+01 2.363e+01
KOI-889b    0.926e+00 0.9770e+00 1.820e+03 2.52e+04 0.254e+01 6.72e-06 3.02e-04 1.34e+01 1.51e+01 3.722e+01
KOI-889b    0.810e+00 0.8702e+00 1.366e+04 5.00e+04 0.717e+01 2.64e-06 4.25e-05 1.41e+01 1.54e+01 5.823e+01
KOI-889b    0.690e+00 0.6921e+00 4.313e+04 7.52e+04 0.134e+02 1.53e-06 1.36e-05 1.37e+01 1.48e+01 7.482e+01
KOI-889b    0.572e+00 0.4848e+00 9.400e+04 1.00e+05 0.206e+02 1.10e-06 6.31e-06 1.37e+01 1.48e+01 8.870e+01
KOI-889b    0.448e+00 0.2776e+00 1.700e+05 1.25e+05 0.286e+02 8.32e-07 3.53e-06 1.37e+01 1.47e+01 1.006e+02
KOI-889b    0.328e+00 0.1242e+00 2.550e+05 1.45e+05 0.360e+02 6.95e-07 2.35e-06 1.38e+01 1.48e+01 1.096e+02
KOI-889b    0.043e+00 0.0315e-02 3.974e+05 1.66e+05 0.465e+02 5.75e-07 1.51e-06 1.41e+01 1.50e+01 1.200e+02
Corot-3b    0.996e+00 0.9558e+00 1.127e+01 0.77e+04 0.208e+00 6.53e-05 0.06e+00 1.66e+01 1.95e+01 0.960e+01
Corot-3b    0.992e+00 0.9557e+00 7.297e+01 1.12e+04 0.548e+00 3.24e-05 7.37e-03 1.33e+01 1.65e+01 1.724e+01
Corot-3b    0.982e+00 0.9549e+00 4.241e+02 1.99e+04 1.178e+00 1.33e-05 1.29e-03 1.31e+01 1.57e+01 2.734e+01
Corot-3b    0.930e+00 0.9416e+00 6.887e+03 5.07e+04 4.700e+00 3.55e-06 8.52e-05 1.39e+01 1.57e+01 5.177e+01
Corot-3b    0.838e+00 0.8812e+00 4.604e+04 1.00e+05 1.315e+01 1.52e-06 1.31e-05 1.41e+01 1.57e+01 7.831e+01
Corot-3b    0.630e+00 0.5992e+00 3.745e+05 2.00e+05 4.321e+01 6.00e-07 1.64e-06 1.49e+01 1.61e+01 1.209e+02
Corot-3b    0.436e+00 0.2740e+00 1.116e+06 3.00e+05 8.088e+01 3.69e-07 5.53e-07 1.36e+01 1.46e+01 1.521e+02
Corot-3b    0.166e+00 0.0195e+00 2.420e+06 4.00e+05 1.265e+02 2.64e-07 2.56e-07 1.34e+01 1.43e+01 1.784e+02
Corot-3b    0.929e-02 0.0308e-03 2.760e+06 4.20e+05 1.366e+02 2.67e-07 2.27e-07 1.36e+01 1.46e+01 1.865e+02
Gliese-229b 0.998e+00 1.0000e+00 0.576e+01 0.80e+04 0.126e+00 9.50e-05 1.32e-01 1.95e+01 2.42e+01 0.859e+01
Gliese-229b 0.996e+00 9.9998e-01 6.168e+01 1.33e+04 0.462e+00 3.41e-05 9.43e-03 1.45e+01 1.84e+01 0.168e+02
Gliese-229b 0.994e+00 9.9994e-01 1.768e+02 1.85e+04 0.738e+00 2.07e-05 3.21e-03 1.31e+01 1.69e+01 0.227e+02
Gliese-229b 0.992e+00 9.9988e-01 3.440e+02 2.26e+04 0.100e+01 1.49e-05 1.68e-03 1.34e+01 1.67e+01 0.265e+02
Gliese-229b 0.990e+00 9.9980e-01 5.624e+02 2.65e+04 0.126e+01 1.15e-05 1.03e-03 1.36e+01 1.67e+01 0.299e+02
Gliese-229b 0.970e+00 0.9981e+00 5.795e+03 5.79e+04 0.411e+01 3.85e-06 1.04e-04 1.42e+01 1.65e+01 0.507e+02
Gliese-229b 0.920e+00 0.9854e+00 5.101e+04 1.29e+05 0.134e+02 1.46e-06 1.21e-05 1.46e+01 1.65e+01 0.817e+02
Gliese-229b 0.796e+00 0.0894e+01 5.201e+05 2.80e+05 0.506e+02 5.23e-07 1.21e-06 1.41e+01 1.55e+01 0.132e+03
Gliese-229b 0.620e+00 0.0634e+01 2.877e+06 5.31e+05 0.136e+03 2.65e-07 2.21e-07 1.38e+01 1.52e+01 0.191e+03
Gliese-229b 0.298e+00 0.0116e+01 1.432e+07 9.73e+05 0.349e+03 1.44e-07 4.44e-08 1.44e+01 1.57e+01 0.265e+03
Gliese-229b 0.024e+00 0.0684e-03 2.214e+07 1.18e+06 0.447e+03 1.26e-07 2.93e-08 1.48e+01 1.63e+01 0.289e+03
