# Source: Preising et al. (2023), ApJS 269:47, MF20 Saturn model
# Tables 2 (thermodynamic) and 3 (transport) combined.
# Helium mass fraction Y computed from Table 1 simulation box compositions:
#   Y = (N_He * 4) / (N_H * 1 + N_He * 4 + N_O * 16)
# All 22 data points including He-rich layer (R <= 0.35).
# Columns (units):
# R_RS	P_GPa	lambda_W_m^-1_K^-1	Y_He	D_H_mm^2_s^-1	D_He_mm^2_s^-1
0.95	1.22	2.85	0.074	0.732	1.062
0.90	6.5	3.40	0.071	0.259	0.277
0.85	17	3.01	0.071	0.214	0.259
0.80	32	3.11	0.071	0.171	0.100
0.783	38	3.40	0.071	0.177	0.138
0.767	44	4.08	0.071	0.151	0.228
0.75	52	5.35	0.071	0.156	0.166
0.733	61	9.77	0.071	0.170	0.069
0.717	69	13.1	0.071	0.216	0.106
0.70	80	25.2	0.071	0.252	0.194
0.65	113	51.3	0.071	0.313	0.185
0.60	147	77.0	0.071	0.379	0.175
0.55	207	110	0.071	0.394	0.100
0.50	271	137	0.079	0.391	0.203
0.45	347	177	0.089	0.373	0.169
0.41	424	225	0.099	0.371	0.176
0.395	452	230	0.108	0.356	0.113
0.385	472	245	0.119	0.327	0.166
0.37	509	249	0.131	0.327	0.166
0.35	602	14.1	0.913	0.048	0.056
0.30	917	23.8	0.913	0.058	0.049
0.25	1359	25.3	0.913	0.066	0.057
