P_c,T_c
8.000000000000003e-7,272.8846826923393
8.01751104616267e-7,272.8624535507499
8.035060421917567e-7,272.845332284513
8.052648211163569e-7,272.8330939109374
8.070274497983245e-7,272.82551020526387
8.087939366643193e-7,272.82234968401656
8.105642901594477e-7,272.8233775687969
8.123385187472966e-7,272.82835576390454
8.141166309099837e-7,272.83704281869433
8.158986351481929e-7,272.8491938971369
8.176845399812099e-7,272.8645607512209
8.194743539469737e-7,272.8828916797371
8.212680856021113e-7,272.90393150541473
8.230657435219742e-7,272.92742153861985
8.248673363006896e-7,272.9530995454335
8.266728725511943e-7,272.98069971399605
8.284823609052796e-7,273.0099526226817
8.302958100136256e-7,273.0405852065035
8.321132285458528e-7,273.0723207232146
8.339346251905586e-7,273.1048787197083
8.357600086553533e-7,273.13797499792395
8.375893876669127e-7,273.1713215804168
8.394227709710139e-7,273.20469661995855
8.412601673325723e-7,273.23807967604387
8.43101585535694e-7,273.27147089020383
8.449470343837107e-7,273.3048702675202
8.46796522699225e-7,273.3382778095398
8.486500593241466e-7,273.37169351962507
8.505076531197435e-7,273.4051174014978
8.523693129666804e-7,273.43854945649423
8.542350477650555e-7,273.47198968977636
8.561048664344532e-7,273.5054381022818
8.579787779139822e-7,273.5388946985461
8.598567911623122e-7,273.572359481016
8.61738915157728e-7,273.60583245199683
8.636251588981647e-7,273.63931361613487
8.655155314012548e-7,273.67280297433746
8.674100417043639e-7,273.7063005317537
8.693086988646445e-7,273.7398062897961
8.712115119590747e-7,273.77332025211666
8.73118490084495e-7,273.80684242216546
8.750296423576635e-7,273.84037280148783
8.769449779152937e-7,273.8739113951908
8.788645059140929e-7,273.9074582041503
8.807882355308168e-7,273.9410132331708
8.82716175962306e-7,273.9745764843491
8.84648336425534e-7,274.0081479604245
8.865847261576433e-7,274.041727665713
8.88525354416001e-7,274.07531560129013
8.904702304782377e-7,274.10891177238966
8.924193636422858e-7,274.142516180126
8.943727632264356e-7,274.1761288287535
8.963304385693736e-7,274.20974972108996
8.982923990302227e-7,274.24337885919874
9.002586539885965e-7,274.27701624791916
9.022292128446384e-7,274.31066188813895
9.042040850190689e-7,274.3443157849979
9.06183279953224e-7,274.3779779400079
9.081668071091113e-7,274.41164835677597
9.101546759694493e-7,274.4453270388228
9.121468960377079e-7,274.47901398772336
9.141434768381641e-7,274.51270920859866
9.161444279159427e-7,274.54641270233003
9.18149758837056e-7,274.58012447384164
9.201594791884607e-7,274.6138445250823
9.221735985780963e-7,274.6475728590782
9.241921266349349e-7,274.6813094799168
9.262150730090196e-7,274.7150543888548
9.28242447371522e-7,274.7488075911365
9.302742594147826e-7,274.782569087738
9.323105188523518e-7,274.8163388833243
9.343512354190472e-7,274.85011698023516
9.363964188709952e-7,274.88390338108354
9.384460789856709e-7,274.9176980903237
9.405002255619573e-7,274.9515011090382
9.425588684201841e-7,274.9853124425061
9.446220174021782e-7,275.0191320918324
9.466896823713034e-7,275.052960061443
9.48761873212519e-7,275.0867963539913
9.508385998324212e-7,275.12064097181553
9.529198721592852e-7,275.154493919594
9.55005700143123e-7,275.1883551983252
9.57096093755727e-7,275.2222248132862
9.591910629907103e-7,275.2561027656947
9.612906178635664e-7,275.28998905980643
9.633947684117097e-7,275.3238836984848
9.655035246945278e-7,275.3577866839146
9.676168967934208e-7,275.3916980208938
9.697348948118616e-7,275.4256177103905
9.718575288754385e-7,275.4595457576764
9.739848091318976e-7,275.4934821640357
9.761167457512034e-7,275.52742693365036
9.782533489255806e-7,275.56138006947657
9.80394628869558e-7,275.5953415736542
9.825405958200288e-7,275.62931145102135
9.84691260036291e-7,275.6632897025475
9.86846631800102e-7,275.697276333515
9.890067214157173e-7,275.73127134521104
9.911715392099546e-7,275.7652747418543
9.93341095532235e-7,275.79928652636943
9.955154007546276e-7,275.8333067009579
9.9769446527191e-7,275.8673352704233
9.998782995016139e-7,275.9013722357652
1.0020669138840665e-6,275.93541760229357
1.0042603188824547e-6,275.96947137123726
1.0064585249828654e-6,276.00353354695756
1.0086615426943405e-6,276.03760413222477
1.010869382548919e-6,276.07168312941405
1.0130820551016991e-6,276.10577054320987
1.015299570930883e-6,276.13986637468344
1.0175219406378215e-6,276.17397062917377
1.019749174847076e-6,276.20808330780716
1.021981284206464e-6,276.2422044151747
1.0242182793871042e-6,276.276333953778
1.0264601710834786e-6,276.3104719262925
1.0287069700134764e-6,276.34461833717114
1.0309586869184488e-6,276.37877318762867
1.0332153325632528e-6,276.41293648300217
1.0354769177363142e-6,276.4471082243065
1.0377434532496733e-6,276.48128841641085
1.040014949939031e-6,276.5154770614533
1.0422914186638116e-6,276.54967416255863
1.0445728703072106e-6,276.58387972379177
1.046859315776238e-6,276.61809374662914
1.0491507660017849e-6,276.65231623632576
1.0514472319386668e-6,276.68654719382755
1.0537487245656796e-6,276.7207866242771
1.0560552548856448e-6,276.7550345293815
1.0583668339254737e-6,276.78929091288967
1.0606834727362138e-6,276.82355577826667
1.0630051823930965e-6,276.8578291274296
1.0653319739956015e-6,276.8921109654068
1.067663858667502e-6,276.92640129318517
1.0700008475569213e-6,276.9607001161051
1.072342951836379e-6,276.9950074354668
1.074690182702856e-6,277.0293232556886
1.0770425513778427e-6,277.06364757951485
1.0794000691073844e-6,277.09798040950653
1.08176274716215e-6,277.13232175023717
1.0841305968374786e-6,277.1666716029307
1.0865036294534263e-6,277.2010299729618
1.0888818563548343e-6,277.23539686135524
1.0912652889113743e-6,277.2697722730989
1.093653938517607e-6,277.3041562101944
1.0960478165930274e-6,277.33854867608204
1.098446934582134e-6,277.3729496745536
1.1008513039544746e-6,277.4073592073667
1.103260936204697e-6,277.4417772796635
1.1056758428526154e-6,277.4762038924313
1.10809603544326e-6,277.51063905101904
1.1105215255469244e-6,277.54508275677705
1.1129523247592353e-6,277.57953501413783
1.1153884447011986e-6,277.61399582585017
1.1178298970192595e-6,277.6484651945603
1.1202766933853487e-6,277.6829431247898
1.1227288454969525e-6,277.7174296178498
1.1251863650771618e-6,277.7519246791155
1.1276492638747204e-6,277.78642830959257
1.1301175536640963e-6,277.82094051442954
1.1325912462455303e-6,277.85546129539773
1.135070353445085e-6,277.88999065635795
1.1375548871147165e-6,277.92452860069795
1.1400448591323206e-6,277.9590751305495
1.1425402814017951e-6,277.9936302508372
1.1450411658530869e-6,278.0281939626759
1.1475475244422626e-6,278.06276627149987
1.1500593691515603e-6,278.0973471784327
1.152576711989438e-6,278.13193668839784
1.1550995649906458e-6,278.16653480353506
1.1576279402162766e-6,278.2011415272658
1.1601618497538167e-6,278.2357568634288
1.1627013057172172e-6,278.2703808138621
1.1652463202469431e-6,278.3050133836922
1.1677969055100358e-6,278.33965457396863
1.1703530737001614e-6,278.3743043901238
1.1729148370376845e-6,278.40896283339015
1.1754822077697172e-6,278.44362990854506
1.1780551981701735e-6,278.4783056179429
1.1806338205398393e-6,278.5129899648012
1.1832180872064268e-6,278.547682953163
1.1858080105246236e-6,278.5823845847611
1.1884036028761682e-6,278.6170948647977
1.1910048766698987e-6,278.6518137943171
1.1936118443418173e-6,278.68654137875615
1.1962245183551392e-6,278.7212776193857
1.198842911200368e-6,278.75602252097093
1.2014670353953473e-6,278.790776085895
1.2040969034853138e-6,278.82553831739864
1.2067325280429707e-6,278.86030921951254
1.2093739216685423e-6,278.89508879401956
1.2120210969898252e-6,278.92987704610374
1.2146740666622645e-6,278.9646739768381
1.2173328433690042e-6,278.99947959168946
1.2199974398209525e-6,279.0342938918827
1.2226678687568325e-6,279.0691168823144
1.2253441429432588e-6,279.1039485652041
1.2280262751747904e-6,279.1387889440476
1.2307142782739847e-6,279.1736380226404
1.2334081650914734e-6,279.208495802982
1.2361079485060168e-6,279.2433622901274
1.2388136414245578e-6,279.2782374852348
1.2415252567822987e-6,279.31312139379895
1.2442428075427527e-6,279.3480140169477
1.2469663066978112e-6,279.382915359813
1.2496957672677957e-6,279.4178254242862
1.2524312023015352e-6,279.4527442143519
1.255172624876421e-6,279.4876717333195
1.257920048098462e-6,279.5226079836224
1.2606734851023615e-6,279.5575529700112
1.263432949051574e-6,279.5925066938557
1.2661984531383584e-6,279.627469160601
1.2689700105838589e-6,279.66244037130696
1.2717476346381557e-6,279.6974203313608
1.2745313385803347e-6,279.7324090422569
1.2773211357185403e-6,279.7674065085873
1.2801170393900552e-6,279.8024127329907
1.2829190629613548e-6,279.83742771860216
1.285727219828165e-6,279.8724514695811
1.288541523415541e-6,279.90748398775105
1.291361987177924e-6,279.94252527831003
1.2941886245991973e-6,279.97757534240515
1.2970214491927667e-6,280.01263418556476
1.2998604745016146e-6,280.0477018089597
1.3027057140983704e-6,280.08277821775766
1.3055571815853638e-6,280.11786341383566
1.3084148905947065e-6,280.15295740132535
1.3112788547883499e-6,280.18806018340155
